station,x_m,y_m,z_m
3,0.5177,0.0335,-0.2085
3,0.5177,0.0367,-0.2048
3,0.5177,0.0398,-0.2007
3,0.5177,0.0428,-0.1963
3,0.5177,0.0457,-0.1916
3,0.5177,0.0486,-0.1866
3,0.5177,0.0514,-0.1813
3,0.5177,0.0541,-0.1756
3,0.5177,0.0567,-0.1697
3,0.5177,0.0593,-0.1636
3,0.5177,0.0617,-0.1571
3,0.5177,0.0640,-0.1504
3,0.5177,0.0663,-0.1434
3,0.5177,0.0684,-0.1362
3,0.5177,0.0704,-0.1288
3,0.5177,0.0723,-0.1212
3,0.5177,0.0741,-0.1134
3,0.5177,0.0757,-0.1054
3,0.5177,0.0773,-0.0972
3,0.5177,0.0787,-0.0889
3,0.5177,0.0800,-0.0804
3,0.5177,0.0811,-0.0718
3,0.5177,0.0822,-0.0631
3,0.5177,0.0831,-0.0543
3,0.5177,0.0838,-0.0454
3,0.5177,0.0844,-0.0364
3,0.5177,0.0849,-0.0273
3,0.5177,0.0853,-0.0182
3,0.5177,0.0855,-0.0091
3,0.5177,0.0855,-0.0000
3,0.5177,0.0931,0.0620
3,0.5177,0.1006,0.1240
3,0.5177,0.1081,0.1860
3,0.5177,0.1157,0.2480
3,0.5177,0.1232,0.3101
3,0.5177,0.1307,0.3721
3,0.5177,0.1382,0.4341
3,0.5177,0.1458,0.4961
3,0.5177,0.1533,0.5581
3,0.5177,0.1608,0.6201
3,0.5177,0.1684,0.6821
3,0.5177,0.1759,0.7441
4,0.9072,-0.2574,0.7657
4,0.9072,-0.2497,0.7019
4,0.9072,-0.2419,0.6381
4,0.9072,-0.2342,0.5743
4,0.9072,-0.2264,0.5105
4,0.9072,-0.2187,0.4467
4,0.9072,-0.2109,0.3828
4,0.9072,-0.2032,0.3190
4,0.9072,-0.1954,0.2552
4,0.9072,-0.1877,0.1914
4,0.9072,-0.1799,0.1276
4,0.9072,-0.1722,0.0638
4,0.9072,-0.1644,-0.0000
4,0.9072,-0.1643,-0.0109
4,0.9072,-0.1639,-0.0217
4,0.9072,-0.1632,-0.0326
4,0.9072,-0.1623,-0.0434
4,0.9072,-0.1611,-0.0541
4,0.9072,-0.1596,-0.0647
4,0.9072,-0.1579,-0.0752
4,0.9072,-0.1560,-0.0856
4,0.9072,-0.1537,-0.0958
4,0.9072,-0.1513,-0.1059
4,0.9072,-0.1486,-0.1159
4,0.9072,-0.1456,-0.1256
4,0.9072,-0.1424,-0.1352
4,0.9072,-0.1390,-0.1445
4,0.9072,-0.1354,-0.1536
4,0.9072,-0.1315,-0.1624
4,0.9072,-0.1274,-0.1710
4,0.9072,-0.1232,-0.1793
4,0.9072,-0.1187,-0.1873
4,0.9072,-0.1140,-0.1950
4,0.9072,-0.1091,-0.2023
4,0.9072,-0.1041,-0.2094
4,0.9072,-0.0988,-0.2161
4,0.9072,-0.0935,-0.2224
4,0.9072,-0.0879,-0.2284
4,0.9072,-0.0823,-0.2340
4,0.9072,-0.0765,-0.2393
4,0.9072,-0.0705,-0.2441
4,0.9072,-0.0645,-0.2486
4,0.9072,-0.0583,-0.2526
4,0.9072,-0.0521,-0.2563
4,0.9072,-0.0458,-0.2595
4,0.9072,-0.0394,-0.2623
4,0.9072,-0.0329,-0.2647
4,0.9072,-0.0264,-0.2667
4,0.9072,-0.0198,-0.2682
4,0.9072,-0.0132,-0.2693
4,0.9072,-0.0066,-0.2700
4,0.9072,-0.0000,-0.2702
4,0.9072,0.0066,-0.2700
4,0.9072,0.0132,-0.2693
4,0.9072,0.0198,-0.2682
4,0.9072,0.0264,-0.2667
4,0.9072,0.0329,-0.2647
4,0.9072,0.0394,-0.2623
4,0.9072,0.0458,-0.2595
4,0.9072,0.0521,-0.2563
4,0.9072,0.0583,-0.2526
4,0.9072,0.0645,-0.2486
4,0.9072,0.0705,-0.2441
4,0.9072,0.0765,-0.2393
4,0.9072,0.0823,-0.2340
4,0.9072,0.0879,-0.2284
4,0.9072,0.0935,-0.2224
4,0.9072,0.0988,-0.2161
4,0.9072,0.1041,-0.2094
4,0.9072,0.1091,-0.2023
4,0.9072,0.1140,-0.1950
4,0.9072,0.1187,-0.1873
4,0.9072,0.1232,-0.1793
4,0.9072,0.1274,-0.1710
4,0.9072,0.1315,-0.1624
4,0.9072,0.1354,-0.1536
4,0.9072,0.1390,-0.1445
4,0.9072,0.1424,-0.1352
4,0.9072,0.1456,-0.1256
4,0.9072,0.1486,-0.1159
4,0.9072,0.1513,-0.1059
4,0.9072,0.1537,-0.0958
4,0.9072,0.1560,-0.0856
4,0.9072,0.1579,-0.0752
4,0.9072,0.1596,-0.0647
4,0.9072,0.1611,-0.0541
4,0.9072,0.1623,-0.0434
4,0.9072,0.1632,-0.0326
4,0.9072,0.1639,-0.0217
4,0.9072,0.1643,-0.0109
4,0.9072,0.1644,-0.0000
4,0.9072,0.1722,0.0638
4,0.9072,0.1799,0.1276
4,0.9072,0.1877,0.1914
4,0.9072,0.1954,0.2552
4,0.9072,0.2032,0.3190
4,0.9072,0.2109,0.3828
4,0.9072,0.2187,0.4467
4,0.9072,0.2264,0.5105
4,0.9072,0.2342,0.5743
4,0.9072,0.2419,0.6381
4,0.9072,0.2497,0.7019
4,0.9072,0.2574,0.7657
5,1.3912,-0.3696,0.7774
5,1.3912,-0.3618,0.7126
5,1.3912,-0.3540,0.6479
5,1.3912,-0.3462,0.5831
5,1.3912,-0.3384,0.5183
5,1.3912,-0.3306,0.4535
5,1.3912,-0.3228,0.3887
5,1.3912,-0.3150,0.3239
5,1.3912,-0.3072,0.2591
5,1.3912,-0.2994,0.1944
5,1.3912,-0.2915,0.1296
5,1.3912,-0.2837,0.0648
5,1.3912,-0.2759,-0.0000
5,1.3912,-0.2757,-0.0127
5,1.3912,-0.2750,-0.0254
5,1.3912,-0.2739,-0.0380
5,1.3912,-0.2723,-0.0506
5,1.3912,-0.2703,-0.0631
5,1.3912,-0.2679,-0.0754
5,1.3912,-0.2650,-0.0877
5,1.3912,-0.2617,-0.0998
5,1.3912,-0.2580,-0.1118
5,1.3912,-0.2539,-0.1236
5,1.3912,-0.2493,-0.1352
5,1.3912,-0.2444,-0.1465
5,1.3912,-0.2390,-0.1577
5,1.3912,-0.2333,-0.1685
5,1.3912,-0.2272,-0.1791
5,1.3912,-0.2207,-0.1895
5,1.3912,-0.2139,-0.1995
5,1.3912,-0.2067,-0.2091
5,1.3912,-0.1992,-0.2185
5,1.3912,-0.1914,-0.2275
5,1.3912,-0.1832,-0.2361
5,1.3912,-0.1747,-0.2443
5,1.3912,-0.1659,-0.2521
5,1.3912,-0.1569,-0.2595
5,1.3912,-0.1476,-0.2664
5,1.3912,-0.1381,-0.2730
5,1.3912,-0.1283,-0.2791
